_id,id,t,x,y,engineTemperature,speed
5d766d7c4805cd2081483ffa,1,2014-10-01T07:50:01.000Z,36.0665048,24.88265407,66.69368,0.0
5d766d7c4805cd2081483ffb,1,2014-10-01T07:50:04.000Z,36.06628382,24.88260906,66.69368,29.9326
5d766d7c4805cd2081483ffc,1,2014-10-01T07:50:05.000Z,36.0661842,24.88257264,66.69368,41.39829
5d766d7c4805cd2081483ffd,1,2014-10-01T07:50:06.000Z,36.06617044,24.88260133,66.69368,11.0911455
5d766d7c4805cd2081483ffe,1,2014-10-01T07:50:07.000Z,36.06610428,24.88256619,66.69368,28.236687
5d766d7c4805cd2081483fff,1,2014-10-01T07:50:08.000Z,36.06610115,24.88258368,66.69368,5.760682
5d766d7c4805cd2081484000,1,2014-10-01T07:50:09.000Z,36.06599222,24.88257125,66.69368,44.438423
5d766d7c4805cd2081484001,1,2014-10-01T07:50:10.000Z,36.0659493,24.88264701,66.69368,29.35158
5d766d7c4805cd2081484002,1,2014-10-01T07:50:11.000Z,36.06592105,24.88259039,66.69368,20.847185
5d766d7c4805cd2081484003,1,2014-10-01T07:50:13.000Z,36.06581891,24.88258935,66.69368,20.617212
5d766d7c4805cd2081484004,1,2014-10-01T07:50:14.000Z,36.06579457,24.8825738,66.69368,10.407877
5d766d7c4805cd2081484005,1,2014-10-01T07:50:17.000Z,36.06566001,24.88256979,66.69368,18.328976
5d766d7c4805cd2081484006,1,2014-10-01T07:50:18.000Z,36.06554874,24.882573,66.69368,44.288166
5d766d7c4805cd2081484007,1,2014-10-01T07:50:19.000Z,36.06553347,24.88270758,66.69368,44.243645
5d766d7c4805cd2081484008,1,2014-10-01T07:50:20.000Z,36.0655284,24.88268299,66.69368,8.167399
5d766d7c4805cd2081484009,1,2014-10-01T07:50:21.000Z,36.06560981,24.88278001,66.69368,44.9343
5d766d7c4805cd208148400a,1,2014-10-01T07:50:22.000Z,36.06560962,24.88285207,66.69368,23.452927
5d766d7c4805cd208148400b,1,2014-10-01T07:50:23.000Z,36.06553062,24.8828835,66.69368,33.553642
5d766d7c4805cd208148400c,1,2014-10-01T07:50:25.000Z,36.06556623,24.88292332,66.69368,10.014556
5d766d7c4805cd208148400d,1,2014-10-01T07:50:26.000Z,36.06561763,24.88301066,66.69368,34.64234
5d766d7c4805cd208148400e,1,2014-10-01T07:50:28.000Z,36.0655514,24.88310041,66.69368,19.463654
5d766d7c4805cd208148400f,1,2014-10-01T07:50:29.000Z,36.06555767,24.8831703,66.69368,23.03908
5d766d7c4805cd2081484010,1,2014-10-01T07:50:30.000Z,36.0656012,24.88320338,66.69368,19.80491
5d766d7c4805cd2081484011,1,2014-10-01T07:50:31.000Z,36.06561746,24.88328923,66.69368,28.436945
5d766d7c4805cd2081484012,1,2014-10-01T07:50:36.000Z,36.06553309,24.88351309,66.69368,15.928512
5d766d7c4805cd2081484013,1,2014-10-01T07:50:39.000Z,36.06562511,24.88367677,66.69368,21.500309
5d766d7c4805cd2081484014,1,2014-10-01T07:50:43.000Z,36.06555211,24.88386834,66.69368,17.189192
5d766d7c4805cd2081484015,1,2014-10-01T07:50:45.000Z,36.06560924,24.88392889,66.69368,14.922451
5d766d7c4805cd2081484016,1,2014-10-01T07:50:47.000Z,36.06556383,24.88404667,66.69368,21.213299
5d766d7c4805cd2081484017,1,2014-10-01T07:50:48.000Z,36.06554024,24.88413172,66.69368,29.245468
5d766d7c4805cd2081484018,1,2014-10-01T07:50:51.000Z,36.06553847,24.88430251,66.69368,18.309755
5d766d7c4805cd2081484019,1,2014-10-01T07:50:52.000Z,36.06554016,24.88426862,66.69368,11.10929
5d766d7c4805cd208148401a,1,2014-10-01T07:50:53.000Z,36.06560702,24.88432605,66.69368,32.24833
5d766d7c4805cd208148401b,1,2014-10-01T07:50:54.000Z,36.06556128,24.88442688,66.69368,36.956383
5d766d7c4805cd208148401c,1,2014-10-01T07:50:55.000Z,36.06561984,24.88445912,66.69368,26.590038
5d766d7c4805cd208148401d,1,2014-10-01T07:50:56.000Z,36.06559872,24.88450842,66.69368,18.478188
5d766d7c4805cd208148401e,1,2014-10-01T07:50:58.000Z,36.06562201,24.88461472,66.69368,17.878
5d766d7c4805cd208148401f,1,2014-10-01T07:50:59.000Z,36.06561483,24.88469351,66.69368,25.350504
5d766d7c4805cd2081484020,1,2014-10-01T07:51:04.000Z,36.06558901,24.88494346,66.69368,16.310884
5d766d7c4805cd2081484021,1,2014-10-01T07:51:07.000Z,36.06557385,24.88505756,66.69368,12.510441
5d766d7c4805cd2081484022,1,2014-10-01T07:51:08.000Z,36.06556336,24.88509904,66.69368,14.33
5d766d7c4805cd2081484023,1,2014-10-01T07:51:10.000Z,36.06555945,24.88523264,66.69368,21.614883
5d766d7c4805cd2081484024,1,2014-10-01T07:51:11.000Z,36.06553119,24.88523172,66.69368,10.707013
5d766d7c4805cd2081484025,1,2014-10-01T07:51:12.000Z,36.06556815,24.8852925,66.69368,24.061045
5d766d7c4805cd2081484026,1,2014-10-01T07:51:14.000Z,36.06552964,24.88541272,66.69368,20.88679
5d766d7c4805cd2081484027,1,2014-10-01T07:51:17.000Z,36.06560653,24.88557639,66.69368,20.412334
5d766d7c4805cd2081484028,1,2014-10-01T07:51:18.000Z,36.06560778,24.88561939,66.69368,14.27709
5d766d7c4805cd2081484029,1,2014-10-01T07:51:20.000Z,36.06553131,24.88574155,66.69368,24.96474
5d766d7c4805cd208148402a,1,2014-10-01T07:51:21.000Z,36.06560842,24.88572841,66.69368,30.844658
5d766d7c4805cd208148402b,1,2014-10-01T07:51:22.000Z,36.06560888,24.88576005,66.69368,9.874916
5d766d7c4805cd208148402c,1,2014-10-01T07:51:23.000Z,36.06552927,24.8858313,66.69368,39.728745
5d766d7c4805cd208148402d,1,2014-10-01T07:51:25.000Z,36.06548206,24.88587141,66.69368,11.222362
5d766d7c4805cd208148402e,1,2014-10-01T07:51:27.000Z,36.06540834,24.88588635,66.69368,15.468572
5d766d7c4805cd208148402f,1,2014-10-01T07:51:29.000Z,36.06530964,24.88591115,66.69368,19.504889
5d766d7c4805cd2081484030,1,2014-10-01T07:51:30.000Z,36.0652379,24.88589403,66.69368,29.540506
5d766d7c4805cd2081484031,1,2014-10-01T07:51:32.000Z,36.0651764,24.88595558,66.69368,15.708326
5d766d7c4805cd2081484032,1,2014-10-01T07:51:35.000Z,36.06504648,24.88588283,66.69368,18.990147
5d766d7c4805cd2081484033,1,2014-10-01T07:51:36.000Z,36.06493854,24.88593905,66.69368,47.764156
5d766d7c4805cd2081484034,1,2014-10-01T07:51:37.000Z,36.06496161,24.88586475,66.69368,25.755104
5d766d7c4805cd2081484035,1,2014-10-01T07:51:39.000Z,36.06487454,24.88587278,66.69368,17.604174
5d766d7c4805cd2081484036,1,2014-10-01T07:51:41.000Z,36.06472435,24.88590896,66.69368,30.34885
5d766d7c4805cd2081484037,1,2014-10-01T07:51:43.000Z,36.06458648,24.88592251,66.69368,27.597183
5d766d7c4805cd2081484038,1,2014-10-01T07:51:45.000Z,36.06449721,24.88592139,66.69368,17.563557
5d766d7c4805cd2081484039,1,2014-10-01T07:51:46.000Z,36.06449966,24.88592895,66.69368,2.468764
5d766d7c4805cd208148403a,1,2014-10-01T07:51:50.000Z,36.0643093,24.88589854,66.69368,19.246864
5d766d7c4805cd208148403b,1,2014-10-01T07:51:51.000Z,36.06418848,24.88589699,66.69368,47.341953
5d766d7c4805cd208148403c,1,2014-10-01T07:51:56.000Z,36.06396962,24.88588604,66.69368,17.729023
5d766d7c4805cd208148403d,1,2014-10-01T07:51:57.000Z,36.06390614,24.88591392,66.69368,26.127674
5d766d7c4805cd208148403e,1,2014-10-01T07:51:59.000Z,36.06382173,24.88591893,66.69368,17.58523
5d766d7c4805cd208148403f,1,2014-10-01T07:52:00.000Z,36.0637788,24.88594487,66.69368,18.615253
5d766d7c4805cd2081484040,1,2014-10-01T07:52:01.000Z,36.06372238,24.88591252,66.69368,25.194221
5d766d7c4805cd2081484041,1,2014-10-01T07:52:04.000Z,36.06369802,24.88594687,66.69368,4.800088
5d766d7c4805cd2081484042,1,2014-10-01T08:08:01.000Z,36.06366519,24.88591455,66.69368,0.018067567
5d766d7c4805cd2081484043,1,2014-10-01T08:08:04.000Z,36.06343791,24.88588374,66.69368,30.211449
5d766d7c4805cd2081484044,1,2014-10-01T08:08:06.000Z,36.06334545,24.88595598,66.69368,21.755455
5d766d7c4805cd2081484045,1,2014-10-01T08:08:07.000Z,36.06332683,24.88586919,66.69368,28.804352
5d766d7c4805cd2081484046,1,2014-10-01T08:08:08.000Z,36.06322321,24.88587692,66.69368,41.303654
5d766d7c4805cd2081484047,1,2014-10-01T08:08:11.000Z,36.06313615,24.88588628,66.69368,11.752335
5d766d7c4805cd2081484048,1,2014-10-01T08:08:12.000Z,36.06303152,24.88593506,66.69368,45.45584
5d766d7c4805cd2081484049,1,2014-10-01T08:08:13.000Z,36.06299252,24.88593182,66.69368,15.320109
5d766d7c4805cd208148404a,1,2014-10-01T08:08:17.000Z,36.06282555,24.88591204,66.69368,16.868052
5d766d7c4805cd208148404b,1,2014-10-01T08:08:18.000Z,36.06274928,24.88586979,66.69368,33.423103
5d766d7c4805cd208148404c,1,2014-10-01T08:08:19.000Z,36.06275151,24.88585831,66.69368,4.0057106
5d766d7c4805cd208148404d,1,2014-10-01T08:08:20.000Z,36.06271091,24.88582128,66.69368,20.845312
5d766d7c4805cd208148404e,1,2014-10-01T08:08:22.000Z,36.06260439,24.88582861,66.69368,21.414026
5d766d7c4805cd208148404f,1,2014-10-01T08:08:25.000Z,36.06241848,24.88581755,66.69368,24.454124
5d766d7c4805cd2081484050,1,2014-10-01T08:08:26.000Z,36.06239065,24.88575519,66.69368,23.750486
