_id,id,t,x,y,engineTemperature,speed,numberPassengers
5d766d7c4805cd2081483ffa,1,2014-10-01T07:50:01.000Z,36.0665048,24.88265407,71.62615,0.0,1
5d766d7c4805cd2081483ffb,1,2014-10-01T07:50:04.000Z,36.06628382,24.88260906,71.22894,29.9326,1
5d766d7c4805cd2081483ffc,1,2014-10-01T07:50:05.000Z,36.0661842,24.88257264,70.85242,41.39829,1
5d766d7c4805cd2081483ffd,1,2014-10-01T07:50:06.000Z,36.06617044,24.88260133,70.71509,11.0911455,1
5d766d7c4805cd2081483ffe,1,2014-10-01T07:50:07.000Z,36.06610428,24.88256619,70.884766,28.236687,1
5d766d7c4805cd2081483fff,1,2014-10-01T07:50:08.000Z,36.06610115,24.88258368,70.94387,5.760682,1
5d766d7c4805cd2081484000,1,2014-10-01T07:50:09.000Z,36.06599222,24.88257125,70.89608,44.438423,1
5d766d7c4805cd2081484001,1,2014-10-01T07:50:10.000Z,36.0659493,24.88264701,70.56316,29.35158,1
5d766d7c4805cd2081484002,1,2014-10-01T07:50:11.000Z,36.06592105,24.88259039,70.48346,20.847185,1
5d766d7c4805cd2081484003,1,2014-10-01T07:50:13.000Z,36.06581891,24.88258935,71.801575,20.617212,1
5d766d7c4805cd2081484004,1,2014-10-01T07:50:14.000Z,36.06579457,24.8825738,71.84433,10.407877,2
5d766d7c4805cd2081484005,1,2014-10-01T07:50:17.000Z,36.06566001,24.88256979,71.60161,18.328976,2
5d766d7c4805cd2081484006,1,2014-10-01T07:50:18.000Z,36.06554874,24.882573,72.31626,44.288166,1
5d766d7c4805cd2081484007,1,2014-10-01T07:50:19.000Z,36.06553347,24.88270758,72.46404,44.243645,1
5d766d7c4805cd2081484008,1,2014-10-01T07:50:20.000Z,36.0655284,24.88268299,72.02247,8.167399,2
5d766d7c4805cd2081484009,1,2014-10-01T07:50:21.000Z,36.06560981,24.88278001,71.33453,44.9343,2
5d766d7c4805cd208148400a,1,2014-10-01T07:50:22.000Z,36.06560962,24.88285207,71.52554,23.452927,1
5d766d7c4805cd208148400b,1,2014-10-01T07:50:23.000Z,36.06553062,24.8828835,72.76612,33.553642,1
5d766d7c4805cd208148400c,1,2014-10-01T07:50:25.000Z,36.06556623,24.88292332,74.09195,10.014556,1
5d766d7c4805cd208148400d,1,2014-10-01T07:50:26.000Z,36.06561763,24.88301066,74.49877,34.64234,1
